Cѓd Mun; Codigouf; Codigomunicipio; Estado; Nome; Capital (1=Sim;0=Nуo); Porte do Municэpio; Populaчуo 2016 (IBGE); Сrea da unidade territorial 2015 (kmВ) (IBGE Cidades); Densidade demogrсfica 2010 (hab/kmВ) (IBGE Cidades); PIB 2013 -  A preчos correntes (1000 R$) (IBGE) ; PIB per capita (R$) 2013 (IBGE); Эndice Firjan de Gestуo Fiscal (2015); Gastos saњde e educaчуo per capita; Эndice Fiscal 2016; Colocaчуo Nacional em Gastos e Finanчas Pњblicas; Colocaчуo Estadual em Gastos e Finanчas Pњblicas; "Municэpios com эndice 
(1=Sim; 0 Nуo)"; Status em Gastos e Finanчas; Variсvel do outlier; Terceirizaчуo serviчos bсsicos; Informatizaчуo; Articulaчуo institucional; Transparъncia; Planejamento Urbano; Servidores per capita; Comissionados ; Эndice Gestуo 2016; Colocaчуo Nacional em Qualidade da Gestуo; Colocaчуo Estadual em Qualidade da Gestуo; "Municэpios com эndice 
(1=Sim; 0 Nуo)2"; Status em Qualidade da Gestуo; Variсvel do outlier ; Qualidade habitacional; Atendimento mщdico; Vulnerabilidade; Educaчуo; IDHM; Mortalidade infantil; Эndice de Desempenho 2016; Colocaчуo Nacional em Desempenho; Colocaчуo Estadual em Desempenho; "Municэpios com эndice 
(1=Sim; 0 Nуo)3"; Status em Desempenho; Variсvel do outlier  ; IGM - 2016; Colocaчуo no IGM; Colocaчуo Estadual no IGM; "Municэpios com эndice 
(1=Sim; 0 Nуo)4"
3520400; 35; 20400; SP; ILHABELA; 0; Pequeno porte 2; 32.782; 347,52; 81,1; 3.256.711,64; 105.112,86; 0,870; 0,939; 0,904; 1К; 1К; 1; Com dados; ; 0,477; 0,762; 0,000; 0,850; 0,737; 0,522; 0,997; 0,621; 929К; 106К; 1; Com dados; ; 0,857; 0,547; 0,812; 0,802; 0,747; 0,883; 0,775; 138К; 70К; 1; Com dados; ; 0,767; 1К; 1К; 1
3547304; 35; 47304; SP; SANTANA DE PARNAIBA; 0; Grande porte; 129.261; 179,95; 604,7; 7.373.602,99; 60.939,87; 0,792; 0,762; 0,777; 6К; 3К; 1; Com dados; ; 0,729; 1,000; 0,611; 0,691; 0,436; 0,501; 0,996; 0,709; 266К; 33К; 1; Com dados; ; 0,892; 0,524; 0,866; 0,762; 0,885; 0,810; 0,790; 74К; 39К; 1; Com dados; ; 0,759; 2К; 2К; 1
4202453; 42; 2453; SC; BOMBINHAS; 0; Pequeno porte 1; 18.052; 35,92; 398; 377.357,32; 23.135,14; 0,899; 0,587; 0,743; 13К; 2К; 1; Com dados; ; 1,000; 1,000; 0,118; 0,870; 0,689; 0,662; 0,996; 0,762; 98К; 22К; 1; Com dados; ; 0,978; 0,231; 0,878; 0,801; 0,807; 0,929; 0,770; 161К; 31К; 1; Com dados; ; 0,758; 3К; 1К; 1
3548708; 35; 48708; SP; SAO BERNARDO DO CAMPO; 0; Grande porte; 822.242; 409,53; 1.869,40; 47.668.531,31; 59.149,80; 0,784; 0,473; 0,629; 89К; 21К; 1; Com dados; ; 0,872; 1,000; 1,000; 0,731; 0,828; 0,864; 0,997; 0,899; 2К; 1К; 1; Com dados; ; 0,936; 0,100; 0,897; 0,761; 0,864; 0,882; 0,740; 428К; 187К; 1; Com dados; ; 0,756; 4К; 3К; 1
5300108; 53; 108; DF; BRASILIA; 1; Grande porte; 2.977.216; 5.780,00; 444,7; 175.362.791,42; 62.859,43; 0,4257; 1,000; 0,713; 20К; 1К; 1; Com dados; ; 1,000; 1,000; 0,090; 0,761; 0,716; 0,581; 0,997; 0,735; 178К; 1К; 1; Com dados; ; 0,937; 0,357; 0,883; 0,619; 0,909; 0,850; 0,759; 247К; 1К; 1; Com dados; ; 0,736; 5К; 1К; 1
3548500; 35; 48500; SP; SANTOS; 0; Grande porte; 434.359; 280,67; 1.494,30; 19.265.873,50; 44.478,22; 0,670; 0,587; 0,629; 88К; 20К; 1; Com dados; ; 0,729; 1,000; 0,000; 1,000; 0,883; 0,725; 0,999; 0,762; 97К; 18К; 1; Com dados; ; 0,961; 0,274; 0,925; 0,846; 0,947; 0,859; 0,802; 38К; 22К; 1; Com dados; ; 0,731; 6К; 4К; 1
3520509; 35; 20509; SP; INDAIATUBA; 0; Grande porte; 235.367; 311,55; 646,1; 10.303.801,98; 46.404,74; 0,881; 0,372; 0,627; 96К; 23К; 1; Com dados; ; 0,872; 1,000; 0,192; 1,000; 0,787; 0,786; 0,995; 0,805; 39К; 8К; 1; Com dados; ; 0,959; 0,178; 0,936; 0,743; 0,823; 0,868; 0,751; 317К; 138К; 1; Com dados; ; 0,727; 7К; 5К; 1
4309100; 43; 9100; RS; GRAMADO; 0; Pequeno porte 2; 34.832; 237,83; 135,7; 1.341.090,44; 39.316,64; 0,897; 0,515; 0,706; 26К; 6К; 1; Com dados; ; 0,872; 1,000; 0,195; 0,860; 0,662; 0,697; 0,991; 0,754; 124К; 28К; 1; Com dados; ; 0,920; 0,193; 0,950; 0,546; 0,766; 0,943; 0,720; 708К; 101К; 1; Com dados; ; 0,727; 8К; 1К; 1
4202008; 42; 2008; SC; BALNEARIO CAMBORIU; 0; Grande porte; 131.727; 46,24; 2.337,70; 3.882.423,04; 32.105,78; 0,843; 0,421; 0,632; 83К; 10К; 1; Com dados; ; 0,604; 1,000; 0,229; 0,960; 0,610; 0,776; 0,995; 0,739; 165К; 36К; 1; Com dados; ; 0,976; 0,175; 0,957; 0,776; 0,959; 0,994; 0,806; 31К; 5К; 1; Com dados; ; 0,726; 9К; 2К; 1
4214805; 42; 14805; SC; RIO DO SUL; 0; Mщdio porte; 68.217; 260,97; 235,1; 2.042.374,12; 31.297,87; 0,641; 0,437; 0,539; 329К; 41К; 1; Com dados; ; 0,751; 1,000; 1,000; 0,850; 0,484; 0,820; 0,996; 0,843; 14К; 4К; 1; Com dados; ; 0,970; 0,064; 0,921; 0,877; 0,857; 0,986; 0,779; 108К; 17К; 1; Com dados; ; 0,720; 10К; 3К; 1
